[(0.11099999999999999, 0.5), (0, 0), (0.23099999999999998, 1.0), (0.0, 0), (0, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0, 0.33299999999999996), (0.4, 0.19999999999999996), (0, 0.667), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0.4), (0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0.19999999999999996, 0.5), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0.0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0.0, 0), (0, 0)]
[(0.6, 0), (0, 0.667), (1.0, 0), (0.0, 0), (0.5, 0), (0, 0), (1.0, 0), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0.667), (0, 1.0), (0.33299999999999996, 0.14300000000000002), (0, 1.0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0.667), (0.23099999999999998, 1.0), (0.0, 0), (0.5, 0), (0, 0), (0.14300000000000002, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0.667), (0.23099999999999998, 1.0), (0.33299999999999996, 0.5), (0, 0.5), (0, 0), (0, 0.33299999999999996), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0), (0, 0), (0.33299999999999996, 0.14300000000000002), (0.5, 1.0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0.11099999999999999, 0.5), (0, 0), (0, 0), (0.0, 0), (0, 0), (0, 0), (0, 1.0), (0, 0), (0, 0.33299999999999996), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0.42900000000000005, 0), (0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0)]
[(0.14300000000000002, 0), (0, 0), (0.5, 0), (0.6, 0), (0, 0.556), (0.07699999999999996, 0.778), (0.33299999999999996, 0.6), (0, 0), (0, 0.667), (1.0, 1.0)]
[(0, 0.33299999999999996), (0, 0.33299999999999996), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.14300000000000002), (0.19999999999999996, 0.33299999999999996), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0.19999999999999996, 0.5), (0.33299999999999996, 0.33299999999999996), (0, 0), (0.33299999999999996, 0), (0.0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.16700000000000004, 0), (0, 0.4), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0), (1.0, 0), (0, 0), (0, 0), (0, 0), (1.0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1.0, 0), (0, 0), (0, 0), (0, 0)]
[(0.11099999999999999, 0.5), (0, 0), (0, 0.5), (0.33299999999999996, 0.14300000000000002), (1.0, 0), (0, 0), (0.14300000000000002, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.33299999999999996), (0.19999999999999996, 0.19999999999999996), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0.33299999999999996), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0.0, 0.0)]
[(0, 0), (0.19999999999999996, 0.33299999999999996), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0.19999999999999996, 0.19999999999999996), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0.667), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0), (0, 1.0), (0.0, 0), (0.5, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0.667), (0.23099999999999998, 1.0), (0.0, 0), (0, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.33299999999999996, 0.6), (0, 0), (0, 1.0), (0.0, 0), (0.5, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0.11099999999999999, 0.5), (0, 0), (0, 0), (0.11099999999999999, 0), (1.0, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0.33299999999999996, 0), (0, 0), (0, 0)]
[(0.14300000000000002, 0), (0, 0), (0.6, 0), (0, 0), (0, 0), (0.07699999999999996, 0.778), (0.667, 0), (0, 0.5), (0, 0.714), (0, 0.33299999999999996)]
[(0, 0.33299999999999996), (0, 0.33299999999999996), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.14300000000000002), (0.19999999999999996, 0.33299999999999996), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0.19999999999999996, 0.33299999999999996), (0, 0.33299999999999996), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.16700000000000004, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0), (0, 0.5), (0.33299999999999996, 0.14300000000000002), (1.0, 0), (0, 0), (0, 1.0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0.667), (1.0, 0), (0.0, 0.33299999999999996), (0.5, 0), (0, 0), (0, 1.0), (0, 0), (0, 0), (0, 0)]
[(0.11099999999999999, 0.5), (0, 0), (1.0, 0), (0.0, 0), (0, 0.5), (0, 0), (0.14300000000000002, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0.33299999999999996), (0, 0.33299999999999996), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0.33299999999999996), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0, 0), (0.19999999999999996, 0.19999999999999996), (0.19999999999999996, 0), (0.33299999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1.0, 0), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0), (0, 1.0), (0.0, 0), (0.5, 0), (0, 0), (1.0, 0), (0, 0), (0, 0), (0, 0)]
[(0.4, 0.5), (0, 0.667), (0.23099999999999998, 1.0), (0.0, 0), (0, 0), (0, 0), (1.0, 0), (0, 0), (0, 0)]
[(0, 0), (0, 0), (0.0, 0), (0.19999999999999996, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.6, 0), (0, 0), (1.0, 0), (0, 0.5), (0, 1.0), (0, 0), (0.14300000000000002, 0), (0, 0), (0, 0), (0, 0)]
[(0.33299999999999996, 0.6), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]
[(0.11099999999999999, 0.5), (0, 0), (0, 0), (0.0, 0.33299999999999996), (1.0, 0), (0, 0), (0.14300000000000002, 0), (0, 0), (0, 0), (0, 0)]
