0.606,0.636,0.64,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.667,0.839,0.815,0.786,0.6,0.692,0.688,0.667,0.643,0.759,0.593,0.769,0.621,0.872,0.706,0.815,0.8,0.757,0.897,0.64,0.615,0.583,0.6,0.667,0.455,0.583,0.316,0.5,0.4,0.6,0.552,0.435,0.769,0.667,0.733,0.743,0.8,0.667,0.688,0.833,0.6,0.606
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.667,0.839,0.815,0.786,0.6,0.692,0.688,0.667,0.643,0.667,0.593,0.769,0.621,0.872,0.743,0.839,0.8,0.72,0.897,0.667,0.788,0.848,0.6,0.812,0.562,0.765,0.64,0.72,0.667,0.743,0.552,0.621,0.762,0.733,0.733,0.743,0.8,0.667,0.688,0.588,0.71,0.615
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.667,0.839,0.815,0.786,0.6,0.667,0.688,0.769,0.643,0.667,0.593,0.769,0.621,0.872,0.743,0.774,0.727,0.72,0.897,0.643,0.759,0.848,0.733,0.812,0.562,0.765,0.788,0.72,0.706,0.743,0.625,0.435,0.769,0.733,0.733,0.743,0.8,0.667,0.688,0.833,0.6,0.595
0.606,0.636,0.64,0.552,0.812,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.667,0.848,0.815,0.786,0.75,0.692,0.688,0.769,0.643,0.581,0.741,0.8,0.737,0.872,0.743,0.839,0.727,0.914,0.897,0.667,0.759,0.857,0.833,0.933,0.774,0.765,0.788,0.72,0.706,0.743,0.625,0.621,0.667,0.667,0.733,0.743,0.8,0.667,0.688,0.833,0.6
0.609,0.353,0.421,0.364,0.522,0.7,0.636,0.696,0.4,0.783,0.64,0.72,0.667,0.774,0.571,0.522,0.72,0.786,0.667,0.839,0.815,0.786,0.75,0.692,0.688,0.667,0.643,0.667,0.593,0.769,0.621,0.872,0.743,0.815,0.727,0.757,0.897,0.64,0.788,0.812,0.6,0.857,0.562,0.703,0.788,0.714,0.706,0.6,0.552,0.435,0.769,0.667,0.733,0.743,0.8,0.667,0.688,0.833,0.778,0.606
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.696,0.64,0.667,0.632,0.774,0.571,0.733,0.72,0.786,0.667,0.839,0.815,0.69,0.6,0.667,0.688,0.667,0.643,0.69,0.64,0.769,0.552,0.872,0.71,0.828,0.857,0.914,0.897,0.75,0.8,0.857,0.833,0.895,0.774,0.765,0.788,0.788,0.842,0.722,0.625,0.737,0.769,0.878,0.774,0.743,0.8,0.783,0.81,0.833,0.8,0.595
0.606,0.571,0.5,0.643,0.571,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.733,0.72,0.786,0.667,0.839,0.815,0.786,0.75,0.667,0.688,0.769,0.703,0.759,0.741,0.769,0.621,0.872,0.743,0.839,0.727,0.923,0.897,0.75,0.8,0.857,0.833,0.933,0.851,0.857,0.865,0.914,0.842,0.85,0.756,0.727,0.769,0.878,0.914,0.867,0.87,0.833,0.81,0.828,0.955,0.595
0.609,0.571,0.5,0.364,0.571,0.7,0.636,0.696,0.476,0.526,0.5,0.526,0.632,0.667,0.571,0.211,0.571,0.636,0.533,0.526,0.6,0.267,0.5,0.4,0.471,0.267,0.25,0.235,0.381,0.444,0.5,0.6,0.476,0.5,0.4,0.421,0.571,0.455,0.316,0.583,0.5,0.667,0.48,0.348,0.316,0.421,0.316,0.348,0.348,0.364,0.48,0.455,0.526,0.222,0.444,0.471,0.421,0.5,0.316,0.3
0.606,0.571,0.5,0.476,0.571,0.7,0.526,0.696,0.593,0.696,0.609,0.72,0.667,0.667,0.571,0.522,0.72,0.786,0.8,0.741,0.815,0.786,0.75,0.692,0.688,0.667,0.643,0.69,0.593,0.769,0.621,0.872,0.743,0.815,0.727,0.757,0.897,0.64,0.759,0.848,0.6,0.857,0.562,0.765,0.64,0.72,0.625,0.6,0.552,0.435,0.769,0.667,0.774,0.743,0.8,0.81,0.81,0.833,0.778,0.606
0.606,0.636,0.5,0.552,0.667,0.7,0.815,0.696,0.593,0.783,0.64,0.72,0.667,0.774,0.741,0.667,0.72,0.786,0.667,0.848,0.815,0.69,0.6,0.667,0.688,0.609,0.643,0.75,0.741,0.769,0.5,0.872,0.706,0.839,0.8,0.757,0.897,0.667,0.615,0.848,0.6,0.812,0.562,0.645,0.788,0.714,0.842,0.743,0.625,0.435,0.769,0.733,0.733,0.743,0.8,0.667,0.688,0.833,0.6,0.595
